ACADEMIC BUILDING,LATITUDE,LONGITUDE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Alamance Building,36.101819,-79.504264,A,A,A,A,A,A,A
Arts West,36.103313,-79.512588,A,A,A,A,A,A,A
Belk Pavilion,36.102518,-79.501286,A,A,A,A,A,A,A
Carlton Building,36.102064,-79.504897,A,A,A,A,A,A,A
Center for the Arts,36.105107,-79.506806,A,A,A,A,A,A,A
Dalton L. McMichael Sr. Science Center,36.10348,-79.501726,A,A,A,A,A,A,A
Duke Building,36.102105,-79.503716,A,A,A,A,A,A,A
Ella Darden and Elmon Lee Gray Pavilion,36.102054,-79.502171,A,A,A,A,A,A,A
Ernest A. Koury Sr. Business Center,36.106312,-79.50068,A,A,A,A,A,A,A
Gerald L. Francis Center,36.107332,-79.488625,A,A,A,A,A,A,A
Isabella Cannon Pavilion,36.101686,-79.502214,A,A,A,A,A,A,A
Kenan Pavilion,36.101738,-79.501313,A,A,A,A,A,A,A
Koury Center,36.10372,-79.50539,A,A,A,A,A,A,A
Lindner Hall,36.101317,-79.501715,A,A,A,A,A,A,A
Long Building,36.101126,-79.504307,A,A,A,A,A,A,A
McEwen Building,36.101388,-79.506324,A,A,A,A,A,A,A
Mooney Building,36.101581,-79.503674,A,A,A,A,A,A,A
Powell Building,36.102509,-79.503727,A,A,A,A,A,A,A
Powell House,36.101728,-79.500076,A,A,A,A,A,A,A
Priestley Building,36.100842,-79.506935,A,A,A,A,A,A,A
Psychology and Human Services Studies,36.099279,-79.501996,A,A,A,A,A,A,A
Spence Pavilion,36.10208,-79.50127,A,A,A,A,A,A,A
Whitley Auditorium,36.101537,-79.504789,A,A,A,A,A,A,A
