building,lat,long,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,
Acorn,36.10121052,-79.50682551,0700-0100,0700-010,0700-010,0700-0100,0700-2000,0900-0100,0900-0100,,,,
Argo Tea,36.10699664,-79.50587869,0900-1800,0900-1800,0900-1800,0900-1800,N,N,N,,,,
Biscuitville,36.10477759,-79.50438201,0700-2100,0700-2100,0700-2100,0700-2100,0700-1700,0900-1500,0900-1500,,,,
Boar's Head,36.10592505,-79.50144634,1100-2100,1100-2100,1100-2100,1100-2100,1100-200,1100-2100, 1100-2100,,,,
Chic-Fil-A,36.10203404,-79.50628102,1100-2100,1100-2100,1100-2100,1100-2100,1100-2100,N,N,,,,
Colonnades,36.10592505,-79.50144634,0700-2000,0700-2000,0700-2000,0700-2000,0700-2000,N,N,,,,
Einstein Bros. Bagels,36.10777676,-79.49718833,0700-2000,0700-2000,0700-2000,0700-2000,0700-1500,0900-1500,0900-1500,,,,
Fountain Market,36.10592505,-79.50144634,0900-2100,0900-2100,0900-2100,0900-2100,0900-2100,1100-2000,1100-2000,,,,
Freshii,36.10477759,-79.50438201,1100-2000,1100-2000,1100-2000,1100-2000,1100-2000,1100-2000,1100-2000,,,,
Green World,36.10592505,-79.50144634,1700-2000,1700-2000,1700-2000,1700-2000,N,N,N,,,,
Java City,36.10624252,-79.50097024,0700-1500,0700-1500,0700-1500,0700-1500,0700-1500,N,N,,,,
Lakeside,36.10477759,-79.50438201,"0700-1000, 1100-1400,1700-2000","0700-1000, 1100-1400,1700-2000","0700-1000, 1100-1400,1700-2000","0700-1000, 1100-1400,1700-2000","0700-1000, 1100-1400,1700-2000","1000-1400 ,1700-2000","1000-1400,1700-2000",,,,
McEwen,36.10203404,-79.50438201,"1100-1400, 1700-2000","1100-1400, 1700-2000","1100-1400, 1700-2000","1100-1400, 1700-2000","1100-1400, 1700-2000",N,N,,,,
